#,Title,Notes,Text Overlay,User Tags,Synergy Tags,Result,Duration,In Point,Out Point,Team,Game,Date,Pd.,Clock,Player,Synergy String
20,Evan Cabral,,,,"Offense, Defense, P&R BH, Foul",Foul,00:00:10.7,,,Ithaca College,IC@RIT,01/16/2024,1,16:17,Evan Cabral,15 Evan Cabral > P&R Ball Handler > High P&R > Dribble Off Pick > To Basket > Foul,
21,Evan Cabral,,,,"Offense, FTm",Free Throw,00:00:04.6,,,Ithaca College,IC@RIT,01/16/2024,1,16:17,Evan Cabral,15 Evan Cabral > Non Possession > Free Throw,
22,Evan Cabral,,,,"Offense, FTM",Free Throw,00:00:04.3,,,Ithaca College,IC@RIT,01/16/2024,1,16:17,Evan Cabral,15 Evan Cabral > Non Possession > Free Throw,
23,Chase Dickens,,,,"Offense, Defense, Cut, 2FGM, Foul, Assist",1 Pts,00:00:14.2,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,16:07,Chase Dickens,11 Chase Dickens > Cut > Basket > Make 2 Pts Foul > 1 Pts,
24,Chase Dickens,,,,"Offense, FTM",Free Throw,00:00:06.3,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,16:07,Chase Dickens,11 Chase Dickens > Non Possession > Free Throw,
25,Alex Penders,,,,"Offense, Spot Up, 3FGm",Miss 3 Pts,00:00:26.2,,,Ithaca College,IC@RIT,01/16/2024,1,15:49,Alex Penders,14 Alex Penders > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts,
26,Aidan Holmes,,,,"Offense, Defense, Off Reb, 2FGm, Off Reb, Def Reb",Miss 2 Pts,00:00:10.6,,,Ithaca College,IC@RIT,01/16/2024,1,15:49,Aidan Holmes,3 Aidan Holmes > Offensive Rebound > Short > Scoring Attempt > At Basket > Miss 2 Pts,
27,Brock Bowen,,,,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,00:00:17.4,,,Rochester Institute of Technology Tigers,IC@RIT,01/16/2024,1,15:35,Brock Bowen,10 Brock Bowen > Transition > Ballhandler > Dribble Jumper > Long/3pt > Miss 3 Pts,
28,Alex Penders,,,,"Offense, Post Up, Spot Up, 3FGm",Miss 3 Pts,00:00:22.4,,,Ithaca College,IC@RIT,01/16/2024,1,15:22,Logan Wendell,14 Alex Penders > Post-Up > Left Block > Defense Commits > Ball Delivered > 1 Logan Wendell > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts,
29,Aidan Holmes,,,,"Offense, Off Reb, Off Reb",Run Offense,00:00:07.5,,,Ithaca College,IC@RIT,01/16/2024,1,15:22,Aidan Holmes,3 Aidan Holmes > Offensive Rebound > Long > Run Offense,
30,Evan Cabral,,,,"Offense, Defense, Post Up, Foul",Foul,00:00:12.1,,,Ithaca College,IC@RIT,01/16/2024,1,15:16,Evan Cabral,15 Evan Cabral > Post-Up > Left Block > Right Shoulder > Dribble Move > To Basket > Foul,
31,Evan Cabral,,,,"Offense, FTM",Free Throw,00:00:05.9,,,Ithaca College,IC@RIT,01/16/2024,1,15:16,Evan Cabral,15 Evan Cabral > Non Possession > Free Throw,
32,Evan Cabral,,,,"Offense, Defense, FTm, Def Reb",Free Throw,00:00:06.3,,,Ithaca College,IC@RIT,01/16/2024,1,15:16,Evan Cabral,15 Evan Cabral > Non Possession > Free Throw,
