#,Title,Synergy Tags,Result,Team,Pd.,Clock,Player,Synergy String
143,Brody Brown,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,2,13:10,Brody Brown,12 Brody Brown > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
144,Carter Seeberger,"Offense, Transition, 2FGM",Make 2 Pts,Elmira,2,13:01,Carter Seeberger,10 Carter Seeberger > Transition > Ballhandler > To Basket > Make 2 Pts
145,Josiah Turner,"Offense, Transition, 2FGm",Miss 2 Pts,Rochester Institute of Technology Tigers,2,12:53,Josiah Turner,33 Josiah Turner > Transition > Leak Outs > To Basket > Miss 2 Pts
146,Josiah Turner,"Offense, Off Reb, Off Reb",Run Offense,Rochester Institute of Technology Tigers,2,12:53,Josiah Turner,33 Josiah Turner > Offensive Rebound > Short > Run Offense
147,Brock Bowen,"Offense, Spot Up, 3FGm",Miss 3 Pts,Rochester Institute of Technology Tigers,2,12:47,Brock Bowen,10 Brock Bowen > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
148,Carter Seeberger,"Offense, Defense, P&R BH, Turnover, Steal",Turnover,Elmira,2,12:45,Carter Seeberger,10 Carter Seeberger > P&R Ball Handler > High P&R > Dribble Off Pick > Defense Commits > Turnover
149,Matt Caggiano,"Offense, Defense, Transition, Foul",Foul,Rochester Institute of Technology Tigers,2,12:26,Matt Caggiano,5 Matt Caggiano > Transition > Ballhandler > To Basket > Foul
150,Matt Caggiano,"Offense, FTm",Free Throw,Rochester Institute of Technology Tigers,2,12:26,Matt Caggiano,5 Matt Caggiano > Non Possession > Free Throw
151,Matt Caggiano,"Offense, FTM",Free Throw,Rochester Institute of Technology Tigers,2,12:26,Matt Caggiano,5 Matt Caggiano > Non Possession > Free Throw
152,Marc Anthony Artuz,"Offense, Defense, Turnover, Steal",Turnover,Elmira,2,12:13,Marc Anthony Artuz,23 Marc Anthony Artuz > No Play Type > Turnover
153,Josiah Turner,"Offense, Defense, Transition, Foul",Foul,Rochester Institute of Technology Tigers,2,12:06,Josiah Turner,33 Josiah Turner > Transition > Right Wing > To Basket > Foul
154,Josiah Turner,"Offense, FTm",Free Throw,Rochester Institute of Technology Tigers,2,12:06,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw
155,Josiah Turner,"Offense, FTM",Free Throw,Rochester Institute of Technology Tigers,2,12:06,Josiah Turner,33 Josiah Turner > Non Possession > Free Throw
156,Carter Seeberger,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,11:45,Carter Seeberger,10 Carter Seeberger > Spot-Up > Drives Left > To Basket > Miss 2 Pts
157,Matt Caggiano,"Offense, Transition Turnover, Turnover",Turnover,Rochester Institute of Technology Tigers,2,11:37,Matt Caggiano,5 Matt Caggiano > Transition > Left Wing > Turnover
158,Owen Evans,"Offense, Spot Up, 2FGm",Miss 2 Pts,Elmira,2,11:12,Owen Evans,22 Owen Evans > Spot-Up > Drives Right > Dribble Jumper > Medium/17' to <3p > Miss 2 Pts
159,Jack O'Grady,"Offense, Off Reb, Off Reb",Run Offense,Elmira,2,11:12,Jack O'Grady,32 Jack O'Grady > Offensive Rebound > Short > Run Offense
160,Marc Anthony Artuz,"Offense, Defense, Spot Up, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,11:01,Marc Anthony Artuz,23 Marc Anthony Artuz > Spot-Up > Drives Right > Dribble Jumper > Short to < 17' > Miss 2 Pts
161,Zac Ditzel,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,2,10:51,Zac Ditzel,20 Zac Ditzel > Transition > Right Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
162,Carter Seeberger,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,10:44,Carter Seeberger,10 Carter Seeberger > Transition > Ballhandler > Dribble Jumper > Short to < 17' > Miss 2 Pts
163,Matt Caggiano,"Offense, Transition, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,2,10:38,Matt Caggiano,5 Matt Caggiano > Transition > Leak Outs > To Basket > Make 2 Pts
164,Dylan Jacob,"Offense, Post Up, 2FGm",Miss 2 Pts,Elmira,2,10:38,Dylan Jacob,1 Dylan Jacob > Post-Up > Right Block > Left Shoulder > Dribble Move > To Drop Step > Miss 2 Pts
165,Brody Brown,"Offense, Off Screen, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,2,10:02,Brody Brown,12 Brody Brown > Off Screen > To Shooter's Left > Straight > Dribble Jumper > Short to < 17' > Make 2 Pts
166,Tyler Cardello,"Offense, Transition, 2FGm",Miss 2 Pts,Elmira,2,9:48,Tyler Cardello,30 Tyler Cardello > Transition > Left Wing > To Basket > Miss 2 Pts
167,Jack O'Grady,"Offense, Off Reb, Off Reb",Run Offense,Elmira,2,9:48,Jack O'Grady,32 Jack O'Grady > Offensive Rebound > Short > Run Offense
168,Dylan Jacob,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,Elmira,2,9:43,Dylan Jacob,1 Dylan Jacob > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
169,Matt Caggiano,"Offense, Off Screen, 2FGM",Make 2 Pts,Rochester Institute of Technology Tigers,2,9:23,Matt Caggiano,5 Matt Caggiano > Off Screen > To Shooter's Right > Straight > To Basket > Make 2 Pts
170,Riley Spencer,"Offense, Defense, Post Up, Foul",Foul,Elmira,2,8:57,Riley Spencer,14 Riley Spencer > Post-Up > Right Block > Right Shoulder > Dribble Move > To Jumper > Foul
171,Riley Spencer,"Offense, FTm",Free Throw,Elmira,2,8:57,Riley Spencer,14 Riley Spencer > Non Possession > Free Throw
172,Riley Spencer,"Offense, FTM",Free Throw,Elmira,2,8:57,Riley Spencer,14 Riley Spencer > Non Possession > Free Throw
173,Jackson Otis,"Offense, Defense, Cut, Foul",Foul,Rochester Institute of Technology Tigers,2,8:46,Jackson Otis,25 Jackson Otis > Cut > Screen > Foul
174,Jackson Otis,"Offense, FTM",Free Throw,Rochester Institute of Technology Tigers,2,8:46,Jackson Otis,25 Jackson Otis > Non Possession > Free Throw
175,Jackson Otis,"Offense, FTM",Free Throw,Rochester Institute of Technology Tigers,2,8:46,Jackson Otis,25 Jackson Otis > Non Possession > Free Throw
176,Tyler Cardello,"Offense, Defense, Post Up, Foul",Foul,Elmira,2,8:30,Tyler Cardello,30 Tyler Cardello > Post-Up > Left Block > Right Shoulder > Dribble Move > To Drop Step > Foul
177,Tyler Cardello,"Offense, FTM",Free Throw,Elmira,2,8:30,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
178,Tyler Cardello,"Offense, FTM",Free Throw,Elmira,2,8:30,Tyler Cardello,30 Tyler Cardello > Non Possession > Free Throw
179,Matt Caggiano,,No Violation,Rochester Institute of Technology Tigers,,,Matt Caggiano,5 Matt Caggiano > Non Possession > No Violation
180,Jackson Otis,"Offense, Cut, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,2,8:20,Jackson Otis,25 Jackson Otis > Cut > Flash > Make 2 Pts
181,Jack O'Grady,"Offense, Transition Turnover, Turnover",Turnover,Elmira,2,8:07,Jack O'Grady,32 Jack O'Grady > Transition > Trailer > Turnover
182,Matt Caggiano,"Offense, Defense, Transition, 2FGM, Foul",1 Pts,Rochester Institute of Technology Tigers,2,8:07,Matt Caggiano,5 Matt Caggiano > Transition > Ballhandler > To Basket > Make 2 Pts Foul > 1 Pts
183,Matt Caggiano,"Offense, FTM",Free Throw,Rochester Institute of Technology Tigers,2,8:01,Matt Caggiano,5 Matt Caggiano > Non Possession > Free Throw
184,Dylan Jacob,"Offense, Defense, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,7:37,Dylan Jacob,1 Dylan Jacob > No Play Type > To Basket > Miss 2 Pts
185,Matt Caggiano,"Offense, Handoff, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,2,7:19,Matt Caggiano,5 Matt Caggiano > Hand Off > From Dribble > Left > No Dribble Jumper > Guarded > Long/3pt > Make 3 Pts
186,Tyler Cardello,"Offense, Defense, Cut, 2FGm, Block, Blocked Attempt",Miss 2 Pts,Elmira,2,6:58,Tyler Cardello,30 Tyler Cardello > Cut > Basket > Miss 2 Pts
187,Tyler Cardello,"Offense, Off Reb, Off Reb",Run Offense,Elmira,2,6:58,Tyler Cardello,30 Tyler Cardello > Offensive Rebound > Short > Run Offense
188,Carter Seeberger,"Offense, Spot Up, 3FGm",Miss 3 Pts,Elmira,2,6:52,Carter Seeberger,10 Carter Seeberger > Spot-Up > Drives Straight > Dribble Jumper > Long/3pt > Miss 3 Pts
189,Ronnie Toole,"Offense, Spot Up, 2FGM",Make 2 Pts,Rochester Institute of Technology Tigers,2,6:52,Ronnie Toole,15 Ronnie Toole > Spot-Up > Drives Straight > To Basket > Make 2 Pts
190,Carter Seeberger,,No Violation,Elmira,2,6:20,Carter Seeberger,10 Carter Seeberger > Non Possession > No Violation
191,Tyler Cardello,"Offense, Spot Up, 2FGM",Make 2 Pts,Elmira,2,5:58,Tyler Cardello,30 Tyler Cardello > Spot-Up > Drives Left > To Basket > Make 2 Pts
192,Matt Caggiano,"Offense, P&R BH, P&R Roll Man, 2FGM, Assist",Make 2 Pts,Rochester Institute of Technology Tigers,2,5:32,Josiah Turner,5 Matt Caggiano > P&R Ball Handler > Left P&R > Side > Dribble Off Pick > Defense Commits > Ball Delivered > 33 Josiah Turner > P&R Roll Man > Pick and Pops > No Dribble Jumper > Open > Medium/17' to <3p > Make 2 Pts
193,Marc Anthony Artuz,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,Elmira,2,5:09,Marc Anthony Artuz,23 Marc Anthony Artuz > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
194,Ronnie Toole,"Offense, Defense, Transition Turnover, Turnover, Steal",Turnover,Rochester Institute of Technology Tigers,2,4:57,Ronnie Toole,15 Ronnie Toole > Transition > Right Wing > Turnover
195,Riley Spencer,"Offense, Defense, Transition, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,4:48,Riley Spencer,14 Riley Spencer > Transition > Left Wing > Dribble Jumper > Short to < 17' > Miss 2 Pts
196,Matt Caggiano,"Offense, Defense, Handoff, Turnover, Steal",Turnover,Rochester Institute of Technology Tigers,2,4:28,Matt Caggiano,5 Matt Caggiano > Hand Off > From Dribble > Top > Turnover
197,Tyler Cardello,"Offense, Transition, 2FGM",Make 2 Pts,Elmira,2,4:22,Tyler Cardello,30 Tyler Cardello > Transition > Ballhandler > To Basket > Make 2 Pts
198,Matt Caggiano,"Offense, Spot Up, 3FGM, Assist",Make 3 Pts,Rochester Institute of Technology Tigers,2,3:55,Matt Caggiano,5 Matt Caggiano > Spot-Up > No Dribble Jumper > Open > Long/3pt > Make 3 Pts
199,Dylan Jacob,"Offense, Spot Up, 3FGm",Miss 3 Pts,Elmira,2,3:53,Dylan Jacob,1 Dylan Jacob > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
200,Jack O'Grady,"Offense, Off Reb, Off Reb",Run Offense,Elmira,2,3:36,Jack O'Grady,32 Jack O'Grady > Offensive Rebound > Short > Run Offense
201,Dylan Jacob,"Offense, P&R BH, 2FGM",Make 2 Pts,Elmira,2,3:17,Dylan Jacob,1 Dylan Jacob > P&R Ball Handler > Right P&R > Side > Dribble Off Pick > To Basket > Make 2 Pts
202,Luke Granto,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,2,2:47,Luke Granto,2 Luke Granto > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
203,Lane Aaron,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,2:33,Lane Aaron,24 Lane Aaron > Cut > Basket > Miss 2 Pts
204,Nolan Smih,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,Rochester Institute of Technology Tigers,2,2:15,Nolan Smih,22 Nolan Smih > Cut > Basket > Miss 2 Pts
205,Owen Evans,"Offense, Defense, Cut, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,1:57,Owen Evans,22 Owen Evans > Cut > Basket > Miss 2 Pts
206,Ronnie Toole,"Offense, Transition, 3FGm",Miss 3 Pts,Rochester Institute of Technology Tigers,2,1:52,Ronnie Toole,15 Ronnie Toole > Transition > Left Wing > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
207,Luke Granto,"Offense, Off Reb, Off Reb",Run Offense,Rochester Institute of Technology Tigers,2,1:52,Luke Granto,2 Luke Granto > Offensive Rebound > Long > Run Offense
208,Zac Ditzel,,No Violation,Rochester Institute of Technology Tigers,2,1:49,Zac Ditzel,20 Zac Ditzel > Non Possession > No Violation
209,Luke Granto,"Offense, P&R BH, 3FGm",Miss 3 Pts,Rochester Institute of Technology Tigers,2,1:49,Luke Granto,2 Luke Granto > P&R Ball Handler > High P&R > Dribble Off Pick > Dribble Jumper > Long/3pt > Miss 3 Pts
210,Nolan Smih,"Offense, Off Reb, Off Reb",Run Offense,Rochester Institute of Technology Tigers,2,1:32,Nolan Smih,22 Nolan Smih > Offensive Rebound > Long > Run Offense
211,Cameron Storm,"Offense, Defense, Turnover, Steal",Turnover,Rochester Institute of Technology Tigers,2,1:15,Cameron Storm,21 Cameron Storm > No Play Type > Turnover
212,Owen Evans,"Offense, Defense, Transition, 3FGm, Def Reb",Miss 3 Pts,Elmira,2,1:09,Owen Evans,22 Owen Evans > Transition > Right Wing > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
213,Nolan Smih,"Offense, Iso, Spot Up, 3FGm",Miss 3 Pts,Rochester Institute of Technology Tigers,2,0:46,Mihail Bossev,22 Nolan Smih > ISO > Right > Drives Right > Defense Commits > Ball Delivered > 24 Mihail Bossev > Spot-Up > No Dribble Jumper > Guarded > Long/3pt > Miss 3 Pts
214,Luke Granto,"Offense, Defense, Spot Up, 3FGm, Def Reb",Miss 3 Pts,Rochester Institute of Technology Tigers,2,0:38,Luke Granto,2 Luke Granto > Spot-Up > No Dribble Jumper > Open > Long/3pt > Miss 3 Pts
215,Jack O'Grady,"Offense, Defense, Transition Turnover, Turnover, Steal",Turnover,Elmira,2,0:32,Jack O'Grady,32 Jack O'Grady > Transition > Ballhandler > Turnover
216,Brandon Weiss,"Offense, Defense, Transition, Foul",Foul,Rochester Institute of Technology Tigers,2,0:27,Brandon Weiss,4 Brandon Weiss > Transition > Right Wing > To Basket > Foul
217,Brandon Weiss,"Offense, FTM",Free Throw,Rochester Institute of Technology Tigers,2,0:27,Brandon Weiss,4 Brandon Weiss > Non Possession > Free Throw
218,Brandon Weiss,"Offense, Defense, FTm, Def Reb",Free Throw,Rochester Institute of Technology Tigers,2,0:27,Brandon Weiss,4 Brandon Weiss > Non Possession > Free Throw
219,Carter Seeberger,"Offense, Defense, 2FGm, Def Reb",Miss 2 Pts,Elmira,2,0:02,Carter Seeberger,10 Carter Seeberger > No Play Type > Dribble Jumper > Short to < 17' > Miss 2 Pts
220,Brandon Weiss,,No Violation,Rochester Institute of Technology Tigers,,,Brandon Weiss,4 Brandon Weiss > Non Possession > No Violation
